"","MState","MAge","Myear","MPlace","Enc_1995","Enc_1996","Enc_1997","Enc_1998","Enc_1999","Enc_2000","Enc_2001","Enc_2002","Enc_2003","Enc_2004","Enc_2005","Enc_2006","Enc_2007","Enc_2008","Enc_2009","Enc_2010","Enc_2011","Enc_2012","Enc_2013","Enc_2014","Enc_2015","Enc_2016","Enc_2017","Ch","Ad","uin"
"1",NA,"00",1995,"Abborren","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3,0,NA
"2",NA,"00",1995,"Bodskär","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",9,0,NA
"3","1","00",1995,"Bodskär","49","0","0","58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0," 8077537"
"4","1","00",1995,"Bodskär","49","50","0","0","0","0","0","0","0","0","0","0","0","0","0","63","0","0","0","63","0","0","0",1,0," 8077499"
"5",NA,"00",1995,"Kalken","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",64,0,NA
"6","1","00",1995,"Kalken","13","0","0","0","18","0","0","0","0","0","18","0","0","18","18","0","18","0","0","0","0","0","0",1,0,"90A19648"
"7",NA,"00",1995,"Lillö","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",10,0,NA
"14",NA,"00",1996,"Abborren","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4,0,NA
"15",NA,"00",1996,"Bodskär","0","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",13,0,NA
"16",NA,"00",1996,"Kalken","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",37,0,NA
"17","1","00",1996,"Kalken","0","13","0","0","0","0","18","18","18","0","18","0","0","0","18","18","18","18","18","0","0","18","0",1,0," 8089150"
"18","1","00",1996,"Kalken","0","13","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0," 8089154"
"19","1","00",1996,"Kalken","0","13","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0," 8089159"
"20",NA,"00",1996,"Lillö","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",3,0,NA
"21","1","00",1996,"Lillö","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0,"90A31130"
"28",NA,"00",1997,"Abborren","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",10,0,NA
"29","1","00",1997,"Abborren","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0,"90A31338"
"30","1","00",1997,"Abborren","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0,"90A31339"
"31","1","00",1997,"Abborren","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0,"90A31335"
"32",NA,"00",1997,"Bodskär","0","0","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",8,0,NA
"33",NA,"00",1997,"Kalken","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",53,0,NA
"34","1","00",1997,"Kalken","0","0","13","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0,"90A31202"
"35",NA,"00",1997,"Lillö","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",5,0,NA
"36",NA,"00",1997,"Österskär","0","0","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",6,0,NA
"37","1","00",1997,"Österskär","0","0","67","0","0","0","0","0","0","0","0","81","0","0","0","0","0","0","0","0","0","0","0",1,0,"90A31282"
"43",NA,"00",1998,"Abborren","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",14,0,NA
"44",NA,"00",1998,"Bodskär","0","0","0","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",49,0,NA
"45",NA,"00",1998,"Kalken","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",53,0,NA
"46","1","00",1998,"Kalken","0","0","0","13","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0," 8091379"
"47","1","00",1998,"Kalken","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",1,0," 8091449"
"48",NA,"00",1998,"Lillö","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",16,0,NA
"49",NA,"00",1998,"Österskär","0","0","0","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",6,0,NA
"55",NA,"00",1999,"Abborren","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",19,0,NA
"56","1","00",1999,"Abborren","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42",1,0,"AAA  644"
